  0    33.30  3.00 1.0   
 10    33.30  3.00 1.0
 20    33.30  3.00 1.0
 30    33.30  3.00 1.0
 40    33.30  3.00 0.9
 50    33.31  3.00 0.7
 60    33.38  4.0  0.5
 70    33.65  4.50 0.2
 80    33.95  5.10 0.1
 90    34.11  5.54 0.05
100    34.24  5.82 0.01
110    34.35  6.10 0.005
120    34.45  6.35 0.005
130    34.54  6.40 0.01
140    34.61  6.50 0.01
150    34.68  6.70 0.02
160    34.72  6.72 0.03
170    34.76  6.74 0.03
180    34.79  6.76 0.03
190    34.82  6.78 0.04
200    34.84  6.83 0.05
210    34.86  6.84 0.05
220    34.88  6.84 0.05
230    34.895 6.85 0.05
240    34.91  6.86 0.05
250    34.92  6.87 0.05
260    34.93  6.87 0.05
270    34.94  6.88 0.05
280    34.95  6.88 0.05
290    34.96  6.88 0.05
300    34.965 6.88 0.05
310    34.97  6.88 0.05
320    34.975 6.87 0.05
330    34.98  6.86 0.05
340    34.985 6.85 0.05
350    34.99  6.84 0.05
360    34.995 6.83 0.05
370    35.00  6.82 0.05
380    35.00  6.81 0.05
390    35.00  6.81 0.05
400    35.001 6.80 0.05
410    35.002 6.79 0.05
420    35.003 6.78 0.05
430    35.004 6.77 0.05
440    35.005 6.76 0.05
450    35.006 6.75 0.05
460    35.007 6.74 0.05
470    35.008 6.73 0.05
480    35.009 6.72 0.05
490    35.01  6.71 0.05
500    35.01  6.70 0.05
510    35.01  6.65 0.05
520    35.01  6.60 0.05
530    35.01  6.58 0.05
540    35.01  6.55 0.05
550    35.01  6.52 0.05
560    35.01  6.49 0.05
570    35.01  6.46 0.05
580    35.01  6.43 0.05
590    35.01  6.41 0.05
600    35.01  6.40 0.05
